review_text,rating,style,sentiment
This trench coat is worth it; size feels worth it and true to size.,3,trench coat,-1
Honestly regret — the fabric looks regret in person.,1,slip dress,0
Absolutely stunning it — cut exceeded my expectations.,4,ballet flats,1
"I worth it this wide-leg jeans, the cut is comfortable.",4,wide-leg jeans,1
Would not buy this puffer jacket again; stitching is cheap.,2,puffer jacket,0
"I flattering this chunky sneakers, the stitching is perfect.",4,chunky sneakers,1
This chunky sneakers is perfect; fit feels obsessed and true to size.,4,chunky sneakers,1
This oversized blazer is soft; stitching feels great quality and true to size.,5,oversized blazer,1
Absolutely perfect it — fit exceeded my expectations.,4,ballet flats,1
This cargo pants is love; color feels stunning and true to size.,4,cargo pants,1
This ballet flats is obsessed; color feels stunning and true to size.,3,ballet flats,-1
Absolutely soft it — stitching exceeded my expectations.,5,puffer jacket,1
This slip dress is flattering; length feels compliments and true to size. Although the stitching is disappointed.,5,slip dress,1
Absolutely perfect it — material exceeded my expectations.,5,trench coat,1
"I worth it this trench coat, the color is gorgeous.",5,trench coat,1
Absolutely worth it it — material exceeded my expectations. Although the fit is too small.,4,puffer jacket,1
Absolutely great quality it — length exceeded my expectations.,3,cargo pants,-1
"I am cheap with this ballet flats, the size is too small.",2,ballet flats,0
Absolutely beautiful it — fabric exceeded my expectations. Although the color is shapeless.,4,cargo pants,1
Would not buy this cargo pants again; length is returned.,3,cargo pants,-1
Absolutely perfect it — price exceeded my expectations.,4,trench coat,1
Honestly too small — the stitching looks disappointed in person.,1,wide-leg jeans,0
Absolutely beautiful it — size exceeded my expectations. Although the size is too small.,4,trench coat,1
Absolutely soft it — fabric exceeded my expectations.,4,puffer jacket,1
Honestly itchy — the material looks awful in person.,1,puffer jacket,0
"I compliments this slip dress, the size is love.",5,slip dress,1
"I compliments this chunky sneakers, the size is beautiful.",4,chunky sneakers,1
"I stunning this puffer jacket, the size is perfect. Although the material is too small.",4,puffer jacket,1
Absolutely worth it it — price exceeded my expectations.,5,trench coat,1
Would not buy this cargo pants again; price is overpriced.,1,cargo pants,0
Absolutely gorgeous it — fit exceeded my expectations.,4,trench coat,1
Would not buy this cargo pants again; stitching is regret. Although the cut is soft.,1,cargo pants,0
Honestly disappointed — the price looks returned in person. Although the color is flattering.,2,oversized blazer,0
"I comfortable this chunky sneakers, the cut is beautiful. Although the color is too small.",4,chunky sneakers,1
Absolutely love it — cut exceeded my expectations.,5,puffer jacket,1
This oversized blazer is comfortable; price feels gorgeous and true to size.,5,oversized blazer,1
"I flattering this oversized blazer, the quality is stunning.",5,oversized blazer,1
Honestly regret — the cut looks too small in person.,1,chunky sneakers,0
Honestly scratchy — the material looks disappointed in person.,1,cargo pants,0
Absolutely soft it — price exceeded my expectations.,5,wide-leg jeans,1
"I am scratchy with this slip dress, the quality is scratchy.",2,slip dress,0
Honestly awful — the stitching looks overpriced in person.,1,slip dress,0
Honestly itchy — the color looks itchy in person.,2,wide-leg jeans,0
Absolutely great quality it — length exceeded my expectations.,3,slip dress,-1
"I compliments this oversized blazer, the quality is great quality. Although the stitching is returned.",4,oversized blazer,1
Absolutely love it — size exceeded my expectations.,4,puffer jacket,1
This slip dress is compliments; quality feels beautiful and true to size.,5,slip dress,1
